"","Data","Cases","Deaths","Recovered","Cases_Wave1","Cases_Wave2","Cases_Wave3","Cases_Wave4","Deaths_Wave1","Deaths_Wave2","Deaths_Wave3","Deaths_Wave4","Active_Wave1","Active_Wave2","Active_Wave3","Active_Wave4","Recovered_Wave1","Recovered_Wave2","Recovered_Wave3","Recovered_Wave4","Area","Model_Cases_Wave1","Model_Cases_Wave2","Model_Cases_Wave3","Model_Active_Wave1","Model_Active_Wave2","Model_Active_Wave3","Model_Deaths_Wave1","Model_Deaths_Wave2","Model_Deaths_Wave3","Model_Recovered_Wave1","Model_Recovered_Wave2","Model_Recovered_Wave3"
"634",2020-06-01,1202,99,388,2.16576845077769e-11,0.00432734370271775,2.8719407072106e-05,1.27359223289508e-23,1.90362064726169e-06,0.00867432171371296,1.39595165649941e-07,0,0.00353832654341922,0.00120818937923899,0.00137401924918952,0.000307552122009454,9.57142857142857,0.00596944003088666,0.00456288276621995,2.07843636076773e-08,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"635",2020-06-02,1213,104,409,1.04865824946393e-11,0.00430483333741083,3.34149517753472e-05,2.72425900708522e-23,1.21287096047628e-06,0.00875431041895557,1.6868100604123e-07,0,0.0035922354439732,0.00112173908804995,0.00148554060952033,0.00032927527825993,5.28571428571429,0.00329655643496726,0.00445191304342314,3.94610741182004e-08,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"636",2020-06-03,1221,105,413,5.01082331745564e-12,0.00426597254092561,3.87994680639099e-05,5.79290757249397e-23,7.64586340108559e-07,0.00880491128048968,2.03449105040508e-07,0,0.0036518523457623,0.00103859364667252,0.00160065002419804,0.000352296882771591,4.85714285714286,0.00302926807537532,0.00433691879535908,7.3721523261953e-08,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"637",2020-06-04,1240,106,414,2.36285656571166e-12,0.00421120643125228,4.49604105096782e-05,1.22454574402249e-22,4.76887805337842e-07,0.00882560836149134,2.44928420613988e-07,0,0.0037038585792379,0.000958951047363061,0.00171881204456589,0.000376675829087136,4.85714285714286,0.00302926807537532,0.00421835536743651,1.35522974382351e-07,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"638",2020-06-05,1265,107,420,1.0995596285343e-12,0.0041411576864511,5.19941314521354e-05,2.57325981153968e-22,2.94295515886136e-07,0.00881619005879202,2.94317697541578e-07,0,0.00374952258911892,0.00088296640978385,0.00183941844384621,0.000402472288061191,5,0.0031183641952393,0.00409668235492684,2.45145980095924e-07,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"639",2020-06-06,1289,107,421,5.04955805914763e-13,0.00405661476105445,6.00064523207683e-05,5.37554462707353e-22,1.79692031342823e-07,0.00877675270443568,3.53010293863905e-07,0,0.0038154817145026,0.000810753617058144,0.00196179142108896,0.000429747629685597,2.42857142857143,0.00151463403768766,0.00397236068143798,4.3634484966962e-07,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"640",2020-06-07,1297,107,422,2.28844833216005e-13,0.00395851711707841,6.91132217610438e-05,1.11632722419243e-21,1.08555476264069e-07,0.00870769892537678,4.22622056633662e-07,0,0.00388524617404304,0.000742387371631688,0.00208518825909989,0.000458564335386896,3.85714285714286,0.00240559523632746,0.0038458497492764,7.64237174550694e-07,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"641",2020-06-08,1309,107,423,1.02348624491908e-13,0.00384793785636629,7.94408512112435e-05,2.30457459891043e-21,6.48862090458125e-08,0.00860973080037732,5.05022521117244e-07,0,0.00395057107706727,0.000677905605019675,0.00220880744002629,0.000488985900507662,3.85714285714286,0.00240559523632746,0.0037176046856836,1.31710285401007e-06,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"642",2020-06-09,1334,108,426,4.517270178762e-14,0.00372606420293992,9.11268174704244e-05,4.72955451347885e-21,3.83734468757443e-08,0.00848383797674696,6.0236971523259e-07,0,0.00402414087076447,0.000617312174257893,0.00233179618674017,0.00052107672671117,3.14285714285714,0.00196011463700756,0.00358807370720187,2.2335951057095e-06,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"643",2020-06-10,1358,116,440,1.96753868540455e-14,0.00359417633111209,0.000104320120702262,9.64894676962938e-21,2.24536509231447e-08,0.00833128102819158,7.17148855593914e-07,0,0.00409263688558599,0.000560579778140684,0.002453259361155,0.000554902004080118,3,0.00187101851714358,0.00345769562247397,3.72719774417696e-06,"Warsaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
