"","time","S","I","R","D","T","areas","w_i"
"688","38","0.998723141055222","0.00126680681858159","0","1.00521261961062e-05","0.00125570001091301","Mazowieckie","2"
"689","39","0.998554796596541","0.00143380268597591","0","1.1400717482741e-05","0.00142404446959397","Mazowieckie","2"
"690","40","0.99836429662669","0.00162277630461235","0","1.29270686971905e-05","0.00161454443944486","Mazowieckie","2"
"691","41","0.99814873555137","0.00183660987922539","0","1.46545694039855e-05","0.00183010551476469","Mazowieckie","2"
"692","42","0.997904829599351","0.0020785607254789","0","1.66096751700075e-05","0.00207401146678423","Mazowieckie","2"
"693","43","0.997628868409169","0.00235230928461382","0","1.8822306217319e-05","0.00234997265696645","Mazowieckie","2"
"694","44","0.997316660645567","0.00266201305743591","0","2.13262969970285e-05","0.00266218042056825","Mazowieckie","2"
"695","45","0.996963472973929","0.00301236712313916","0","2.41599029317618e-05","0.00301536809220624","Mazowieckie","2"
"696","46","0.996563961664159","0.00340867196457322","0","2.73663712677534e-05","0.00341487940197629","Mazowieckie","2"
"697","47","0.996112096039711","0.00385690937656281","0","3.09945837267487e-05","0.00386674502642487","Mazowieckie","2"
"698","48","0.99560107293513","0.00436382728541952","0","3.5099779450705e-05","0.00437776813100555","Mazowieckie","2"
"699","49","0.99502322127981","0.00493703435260613","0","3.97443675835233e-05","0.00495561978632497","Mazowieckie","2"
"700","50","0.994369895890971","0.00558510526930437","0","4.49988397250012e-05","0.00560894517516468","Mazowieckie","2"
"701","51","0.993631363667095","0.00631769357534313","0","5.09427575622938e-05","0.00634747739904074","Mazowieckie","2"
"702","52","0.992796662112717","0.00714567189330718","0","5.7665993975877e-05","0.00718217895341837","Mazowieckie","2"
"703","53","0.991853462709359","0.00808126734036874","0","6.52699502719525e-05","0.00812537835677601","Mazowieckie","2"
"704","54","0.990787915010168","0.00913821602274674","0","7.38689670851323e-05","0.00919092605596719","Mazowieckie","2"
"705","55","0.989584468681291","0.0103319393591486","0","8.35919595601449e-05","0.0103943723848441","Mazowieckie","2"
"706","56","0.988225685580136","0.0116797302345295","0","9.45841853340924e-05","0.0117531554859989","Mazowieckie","2"
"707","57","0.986692035604877","0.013200955181806","0","0.000107009213316777","0.0132868054612581","Mazowieckie","2"
"708","58","0.984961676933159","0.0149172719606918","0","0.000121051106149474","0.0150171641329766","Mazowieckie","2"
"709","59","0.983010222276668","0.0168528608977067","0","0.000136916825624891","0.0169686187894669","Mazowieckie","2"
"710","60","0.980810492736633","0.0190346683872418","0","0.000154838876125255","0.0191683483295023","Mazowieckie","2"
"711","61","0.978332262212475","0.0214926595910578","0","0.000175078196466964","0.02164657885366","Mazowieckie","2"
"712","62","0.9755419966611","0.0242600760316479","0","0.000197927307251461","0.0244368444050347","Mazowieckie","2"
"713","63","0.972402594217694","0.0273736920664481","0","0.000223713715857243","0.0275762468484407","Mazowieckie","2"
"714","64","0.968873134339709","0.0308740620862464","0","0.000252803574044116","0.0311057067264258","Mazowieckie","2"
"715","65","0.964908646720632","0.0348057477056034","0","0.000285605573763864","0.0350701943455026","Mazowieckie","2"
"716","66","0.960459913792623","0.039217511152825","0","0.000322575054551457","0.0395189272735118","Mazowieckie","2"
"717","67","0.955473324203332","0.0441624575163282","0","0.000364218280339831","0.0445055168628034","Mazowieckie","2"
"718","68","0.949890798679199","0.0496981044965698","0","0.000411096824231445","0.0500880423869365","Mazowieckie","2"
"719","69","0.943649816964258","0.0558863510291126","0","0.000463832006628752","0.0563290241018767","Mazowieckie","2"
"720","70","0.936683565622002","0.0627933251878218","0","0.000523109190175687","0.0632952754441328","Mazowieckie","2"
"721","71","0.928921256961994","0.0704890612980741","0","0.000589681739931412","0.0710575841041409","Mazowieckie","2"
"722","72","0.92028864654399","0.0790469785962726","0","0.000664374859736899","0.0796901945221448","Mazowieckie","2"
"723","73","0.910708795546234","0.0885431158894004","0","0.000748088564365727","0.0892700455199015","Mazowieckie","2"
"724","74","0.900103119248267","0.0990550809606147","0","0.000841799791118044","0.0998757218178681","Mazowieckie","2"
"725","75","0.888392761741448","0.110660674948713","0","0.000946563309838173","0.111586079324687","Mazowieckie","2"
"726","76","0.875500330798888","0.12343615812074","0","0.00106351108037212","0.124478510267248","Mazowieckie","2"
"727","77","0.861352014934151","0.137454135378881","0","0.00119384968696753","0.138626826131984","Mazowieckie","2"
"728","78","0.845880086381794","0.152781058152308","0","0.0013388554658973","0.154098754684341","Mazowieckie","2"
"729","79","0.829025668659646","0.16947446408052","0","0.00149986725983387","0.170953172406489","Mazowieckie","2"
"730","80","0.810742179772155","0.187579545075183","0","0.00167827515266234","0.18923666129398","Mazowieckie","2"
"731","81","0.790998533088091","0.207125959954334","0","0.00187550695757486","0.208980307978044","Mazowieckie","2"
"732","82","0.769782548616","0.228124440181982","0","0.00209301120201766","0.230196292450135","Mazowieckie","2"
"733","83","0.747104401177463","0.250563362681673","0","0.00233223614086357","0.252874439888672","Mazowieckie","2"
"734","84","0.722999612027823","0.274405782012781","0","0.00259460595939509","0.276979229038312","Mazowieckie","2"
"735","85","0.697531464963073","0.299587040814261","0","0.00288149422266543","0.302447376103062","Mazowieckie","2"
"736","86","0.670792571386666","0.326013233318128","0","0.00319419529520558","0.329186269679468","Mazowieckie","2"
"737","87","0.642905330332532","0.353560774886483","0","0.00353389478098451","0.357073510733602","Mazowieckie","2"
"738","88","0.614021086455159","0.382077273381196","0","0.00390164016364439","0.385957754610975","Mazowieckie","2"
"739","89","0.584317865895698","0.411383821080806","0","0.00429831302349526","0.415660975170437","Mazowieckie","2"
"740","90","0.553996677153248","0.441278718579891","0","0.00472460426686063","0.445982163912887","Mazowieckie","2"
"741","91","0.52327651246437","0.471542493889235","0","0.00518099364639466","0.476702328601765","Mazowieckie","2"
"742","92","0.492388166371192","0.501944098388412","0","0.00566773524039575","0.507590674694943","Mazowieckie","2"
"743","93","0.461567428175949","0.532247722700344","0","0.00618484912370653","0.538411412890186","Mazowieckie","2"
"744","94","0.43104793089669","0.562219949001001","0","0.00673212010230898","0.568930910169445","Mazowieckie","2"
"745","95","0.401054110111449","0.59163678618509","0","0.00730910370346105","0.598924730954686","Mazowieckie","2"
"746","96","0.371794754522508","0.620290106569956","0","0.00791513890753557","0.628184086543627","Mazowieckie","2"
"747","97","0.343457536864315","0.647993096314787","0","0.00854936682089741","0.65652130420182","Mazowieckie","2"
"748","98","0.316204787306181","0.674584458492618","0","0.00921075420120026","0.683774053759954","Mazowieckie","2"
"749","99","0.290170672345826","0.699931207161622","0","0.00989812049255175","0.709808168720309","Mazowieckie","2"
"750","100","0.265459811963581","0.723930021105189","0","0.0106101669312297","0.734519029102555","Mazowieckie","2"
